date;m_s;f_s;t_s;m_c;f_c;t_c;t_p;cap;hac;;
may-20;30277;2766;33043;74117;4879;78996;112039;80763;38,73%;;
jun-20;27965;2595;30560;72793;4701;77494;108054;80928;33,52%;;
jul-20;24864;2453;27317;72418;4580;76998;104315;80941;28,88%;;
ago-20;24559;2217;26776;70473;4615;75088;101864;80669;26,27%;;
sep-20;36919;3249;40168;78489;5448;83937;99474;80669;23,31%;;
oct-20;22318;2295;24613;69228;4331;73559;98172;80669;21,70%;;
nov-20;21160;2434;23594;69530;4298;73828;97422;80683;20,75%;;
dic-20;20513;2688;23201;68932;4152;73084;96285;80683;19,34%;;
ene-21;21095;2320;23415;68782;4578;73360;96775;80645;20,00%;;
feb-21;21292;2364;23656;68823;4556;73379;97035;80900;19,94%;;
mar-21;22427;2472;24899;67993;4517;72510;97409;80892;20,42%;;
abr-21;21202;2404;23606;69058;4507;73565;97171;81500;19,23%;;
may-21;21476;2418;23894;68249;4446;72695;96589;81500;18,51%;;
jun-21;21707;2423;24130;67899;4371;72270;96400;81524;18,25%;;
jul-21;22036;2471;24507;67494;4385;71879;96386;82326;17,08%;;
ago-21;22066;2507;24573;67503;4309;71812;96385;82326;17,08%;;
sep-21;22305;2558;24863;67749;4207;71956;96819;82326;17,60%;;
oct-21;22560;2517;25077;67603;4218;71821;96898;80429;20,48%;;
nov-21;23016;2582;25598;67459;4213;71672;97270;80429;20,94%;;
dic-21;23012;2583;25595;67229;4089;71318;96913;80429;20,50%;;
ene-22;22688;2605;25293;67177;4093;71270;96563;80234;20,35%;;
